alias_venue,alias_city,canonical_venue,canonical_city,canonical_country,review_status,notes
Adelaide Oval,,Adelaide Oval,Adelaide,Australia,approved_auto,source=gemini_candidate
"Aigburth, Liverpool",Liverpool,Aigburth,Liverpool,England,approved_auto,source=gemini_candidate
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amerat,Oman,approved_auto,source=gemini_candidate
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amerat,Oman,approved_auto,source=gemini_candidate
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amerat,Oman,approved_auto,source=gemini_candidate
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amerat,Oman,approved_auto,source=gemini_candidate
"Albert Park 1, Suva",Suva,Albert Park 1,Suva,Fiji,approved_auto,source=gemini_candidate
"Albert Park 2, Suva",Suva,Albert Park 2,Suva,Fiji,approved_auto,source=gemini_candidate
"Allan Border Field, Brisbane",Brisbane,Allan Border Field,Brisbane,Australia,approved_auto,source=gemini_candidate
"Amini Park, Port Moresby",Port Moresby,Amini Park,Port Moresby,Papua New Guinea,approved_auto,source=gemini_candidate
"Antigua Recreation Ground, St John's",Antigua,Antigua Recreation Ground,St John's,Antigua and Barbuda,approved_auto,source=gemini_candidate
"Antigua Recreation Ground, St John's, Antigua",St John's,Antigua Recreation Ground,St John's,Antigua and Barbuda,approved_auto,source=gemini_candidate
"Arnos Vale Ground, Kingstown",St Vincent,Arnos Vale Ground,Kingstown,Saint Vincent and the Grenadines,approved_auto,source=gemini_candidate
"Arnos Vale Ground, Kingstown, St Vincent",Kingstown,Arnos Vale Ground,Kingstown,Saint Vincent and the Grenadines,approved_auto,source=gemini_candidate
Arun Jaitley Stadium,,Arun Jaitley Stadium,Delhi,India,approved_auto,source=gemini_candidate
"Arun Jaitley Stadium, Delhi",Delhi,Arun Jaitley Stadium,Delhi,India,approved_auto,source=gemini_candidate
Feroz Shah Kotla,Delhi,Arun Jaitley Stadium,Delhi,India,approved_auto,source=gemini_candidate
Arundel Castle Cricket Club Ground,,Arundel Castle Cricket Club Ground,Arundel,England,approved_auto,source=gemini_candidate
"Asian Institute of Technology Ground, Bangkok",Bangkok,Asian Institute of Technology Ground,Bangkok,Thailand,approved_auto,source=gemini_candidate
"Aurora Stadium, Launceston",Launceston,Aurora Stadium,Launceston,Australia,approved_auto,source=gemini_candidate
"Bangabandhu National Stadium, Dhaka",Dhaka,Bangabandhu National Stadium,Dhaka,Bangladesh,approved_auto,source=gemini_candidate
"Bankstown Oval, Sydney",Sydney,Bankstown Oval,Sydney,Australia,approved_auto,source=gemini_candidate
Barabati Stadium,,Barabati Stadium,Cuttack,India,approved_auto,source=gemini_candidate
"Barabati Stadium, Cuttack",Cuttack,Barabati Stadium,Cuttack,India,approved_auto,source=gemini_candidate
"Barsapara Cricket Stadium, Guwahati",Guwahati,Barsapara Cricket Stadium,Guwahati,India,approved_auto,source=gemini_candidate
"Basin Reserve, Wellington",Wellington,Basin Reserve,Wellington,New Zealand,approved_auto,source=gemini_candidate
Cello Basin Reserve,,Basin Reserve,Wellington,New Zealand,approved_auto,source=gemini_candidate
Bay Oval,,Bay Oval,Mount Maunganui,New Zealand,approved_auto,source=gemini_candidate
"Bay Oval, Mount Maunganui",Mount Maunganui,Bay Oval,Mount Maunganui,New Zealand,approved_auto,source=gemini_candidate
"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,Bayuemas Oval,Kuala Lumpur,Malaysia,approved_auto,source=gemini_candidate
"Bellerive Oval, Hobart",Hobart,Bellerive Oval,Hobart,Australia,approved_auto,source=gemini_candidate
"Bert Sutcliffe Oval, Lincoln",Lincoln,Bert Sutcliffe Oval,Lincoln,New Zealand,approved_auto,source=gemini_candidate
Bharat Ratna Shri Atal Bihari Vajpai Ekana Cricket Stadium,Lucknow,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,India,approved_auto,source=gemini_candidate
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,India,approved_auto,source=gemini_candidate
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,India,approved_auto,source=gemini_candidate
