venue,city,country
"7he Sevens Stadium, Dubai",Dubai,United Arab Emirates
"ACA Stadium, Barsapara",Barsapara,India
"ACA Stadium,Mangalagiri",Mangalagiri,India
AMI Stadium,Christchurch,New Zealand
"Abhimanyu Cricket Academy, Dehradun",Dehradun,India
Abu Dhabi Oval 1,Abu Dhabi,United Arab Emirates
Abu Dhabi Oval 2,Abu Dhabi,United Arab Emirates
"Achimota Senior Secondary School A Field, Accra",Accra,Ghana
"Achimota Senior Secondary School B Field, Accra",Accra,Ghana
Adelaide Oval,Adelaide,Australia
Adelaide Oval,Adelaide,Australia
Adelaide Oval No. 2,Adelaide,Australia
Affies Park,Windhoek,Namibia
Aigburth,Liverpool,England
"Aigburth, Liverpool",Liverpool,England
"Airforce Complex ground, Palam",Delhi,India
"Airforce Complex ground, Palam II",Delhi,India
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amerat,Oman
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Oman
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amerat,Oman
Al Dhaid Cricket Village,Al Dhaid,United Arab Emirates
Albert Park 1,Suva,Fiji
"Albert Park 1, Suva",Suva,Fiji
Albert Park 2,Suva,Fiji
"Albert Park 2, Suva",Suva,Fiji
Albertslund Cricket Club,Copenhagen,Denmark
Alembic 1 Cricket Ground,Vadodara,India
Alembic 2  Cricket Ground,Vadodara,India
Allan Border Field,Brisbane,Australia
"Allan Border Field, Brisbane",Brisbane,Australia
Alur Cricket Stadium,Alur,India
Alur Cricket Stadium II,Alur,India
Alur Cricket Stadium III,Alur,India
Amini Park,Port Moresby,Papua New Guinea
"Amini Park, Port Moresby",Port Moresby,Papua New Guinea
Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,Visakhapatnam,India
Antigua Recreation Ground,St John's,Antigua and Barbuda
"Antigua Recreation Ground, St John's",St John's,Antigua and Barbuda
"Antigua Recreation Ground, St John's, Antigua",St John's,Antigua and Barbuda
Arbab Niaz Stadium,Peshawar,Pakistan
"Army Ground, Panagoda",Panagoda,Sri Lanka
Arnos Vale Ground,Kingstown,Saint Vincent and the Grenadines
"Arnos Vale Ground, Kingstown",Kingstown,Saint Vincent and the Grenadines
"Arnos Vale Ground, Kingstown, St Vincent",Kingstown,Saint Vincent and the Grenadines
Arun Jaitley Stadium,Delhi,India
Arun Jaitley Stadium,Delhi,India
"Arun Jaitley Stadium, Delhi",Delhi,India
Arundel Castle Cricket Club Ground,Arundel,England
Arundel Castle Cricket Club Ground,Arundel,England
Asgiriya Stadium,Kandy,Sri Lanka
Ashlyns Road,Frinton-on-Sea,England
Asian Institute of Technology Ground,Bangkok,Thailand
"Asian Institute of Technology Ground, Bangkok",Bangkok,Thailand
Aurora Stadium,Launceston,Australia
"Aurora Stadium, Launceston",Launceston,Australia
BKC Ground,Mumbai,India
"Ballpark Ground, Graz",Graz,Austria
Bangabandhu National Stadium,Dhaka,Bangladesh
"Bangabandhu National Stadium, Dhaka",Dhaka,Bangladesh
Bankstown Oval,Sydney,Australia
"Bankstown Oval, Sydney",Sydney,Australia
Barabati Stadium,Cuttack,India
Barabati Stadium,Cuttack,India
"Barabati Stadium, Cuttack",Cuttack,India
Barsapara Cricket Stadium,Guwahati,India
"Barsapara Cricket Stadium, Guwahati",Guwahati,India
Basin Reserve,Wellington,New Zealand
"Basin Reserve, Wellington",Wellington,New Zealand
Bay Oval,Mount Maunganui,New Zealand
Bay Oval,Mount Maunganui,New Zealand
"Bay Oval, Mount Maunganui",Mount Maunganui,New Zealand
Bayer Uerdingen Cricket Ground,Krefeld,Germany
Bayuemas Oval,Kuala Lumpur,Malaysia
"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,Malaysia
"Beausejour Stadium, Gros Islet",Gros Islet,Saint Lucia
"Belgrano Athletic Club Ground, Buenos Aires",Buenos Aires,Argentina
Bellerive Oval,Hobart,Australia
"Bellerive Oval, Hobart",Hobart,Australia
Bermuda National Stadium,Hamilton,Bermuda
Bert Sutcliffe Oval,Lincoln,New Zealand
"Bert Sutcliffe Oval, Lincoln",Lincoln,New Zealand
Bharat Ratna Shri Atal Bihari Vajpai Ekana Cricket Stadium,Lucknow,India
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,India
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,India
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium B,Lucknow,India
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,India
"Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chattogram",Chattogram,Bangladesh
Blacktown International Sportspark,Sydney,Australia
"Blacktown International Sportspark, Sydney",Sydney,Australia
"Bloomfield Cricket and Athletic Club Ground, Colombo",Colombo,Sri Lanka
Boland Bank Park,Paarl,South Africa
"Boland Bank Park, Paarl",Paarl,South Africa
Boland Park,Paarl,South Africa
"Boland Park, Paarl",Paarl,South Africa
"Botkyrka Cricket Center, Stockholm",Stockholm,Sweden
Botswana Cricket Association Oval 1,Gaborone,Botswana
"Botswana Cricket Association Oval 1, Gaborone",Gaborone,Botswana
Botswana Cricket Association Oval 2,Gaborone,Botswana
"Botswana Cricket Association Oval 2, Gaborone",Gaborone,Botswana
"Boughton Hall Cricket Club Ground, Chester",Chester,England
Brabourne Stadium,Mumbai,India
"Brabourne Stadium, Mumbai",Mumbai,India
Bradman Oval,Bowral,Australia
"Bradman Oval, Bowral",Bowral,Australia
Bready,Derry,Northern Ireland
"Bready Cricket Club, Magheramason",Bready,Northern Ireland
"Bready Cricket Club, Magheramason",Londonderry,Northern Ireland
"Bready Cricket Club, Magheramason, Bready",Bready,Northern Ireland
"Brian Lara Stadium, Tarouba",Tarouba,Trinidad and Tobago
"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,Trinidad and Tobago
Brisbane Cricket Ground,Brisbane,Australia
"Brisbane Cricket Ground, Woolloongabba",Brisbane,Australia
"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,Australia
"Brunton Memorial Ground, Radlett",Radlett,England
Buffalo Park,East London,South Africa
"Buffalo Park, East London",East London,South Africa
Bulawayo Athletic Club,Bulawayo,Zimbabwe
Bulawayo Athletic Club,Bulawayo,Zimbabwe
"Bundaberg Rum Stadium, Cairns",Cairns,Australia
"Burgher Recreation Club Ground, Colombo",Colombo,Sri Lanka
C B Patel Ground,Surat,India
Camberwell Sports Ground,Melbourne,Australia
Cambusdoon New Ground,Ayr,Scotland
"Cambusdoon New Ground, Ayr",Ayr,Scotland
"Campbell Park, Milton Keynes",Milton Keynes,England
Canterbury Park,Bendigo,Australia
Captain Roop Singh Stadium,Gwalior,India
"Captain Roop Singh Stadium, Gwalior",Gwalior,India
Carisbrook,Dunedin,New Zealand
Carrara Oval,Carrara,Australia
Carrara Oval,Carrara,Australia
"Casey Fields No 4, Melbourne",Melbourne,Australia
Casey Fields No. 4,Melbourne,Australia
Castle Avenue,Dublin,Ireland
"Castle Avenue, Dublin",Dublin,Ireland
Castle Park Cricket Ground,Colchester,England
"Castle Park Cricket Ground, Colchester",Colchester,England
Cazaly's Stadium,Cairns,Australia
"Cazaly's Stadium, Cairns",Cairns,Australia
Cello Basin Reserve,Wellington,New Zealand
Central Broward Regional Park Stadium Turf Ground,Lauderhill,United States of America
"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,United States of America
"Centre for Cricket Development Ground, Windhoek",Windhoek,Namibia
Centro Sportivo Ca'Nova,Medicina,Italy
Centro Sportivo Dozza,Navile,Italy
Chaudhry Bansi Lal Cricket Stadium,Lahli,India
"Chester Road North Ground, Kidderminster",Kidderminster,England
Chevrolet Park,Bloemfontein,South Africa
"Chevrolet Park, Bloemfontein",Bloemfontein,South Africa
Chilaw Marians Cricket Club Ground,Katunayake,Sri Lanka
Chittagong Divisional Stadium,Chattogram,Bangladesh
"Choice Moosa Stadium, Pearland",Pearland,United States of America
Church Street Park,Morrisville,United States of America
"Church Street Park, Morrisville",Morrisville,United States of America
"Church of Ireland Young Men's Society Cricket Club Ground, Belfast",Belfast,Northern Ireland
City Oval,Pietermaritzburg,South Africa
"City Oval, Pietermaritzburg",Pietermaritzburg,South Africa
"Civil Service Cricket Club, Stormont",Belfast,Northern Ireland
"Civil Service Cricket Club, Stormont, Belfast",Belfast,Northern Ireland
"Clayton Panama, Panama City",Panama City,Panama
"Clifton Park Ground, York",York,England
Clontarf Cricket Club Ground,Dublin,Ireland
"Clontarf Cricket Club Ground, Dublin",Dublin,Ireland
Cobham Oval,Whangarei,New Zealand
Cobham Oval (New),Whangarei,New Zealand
"Cobham Oval (New), Whangarei",Whangarei,New Zealand
"Cobham Oval, Whangarei",Whangarei,New Zealand
Colin Maiden Park,Auckland,New Zealand
"Colin Maiden Park, Auckland",Auckland,New Zealand
College Field,St Peter Port,Guernsey
"College Field, St Peter Port",St Peter Port,Guernsey
College Ground,Cheltenham,England
"College Ground, Cheltenham",Cheltenham,England
Colombo Cricket Club Ground,Colombo,Sri Lanka
Colombo Cricket Club Ground,Colombo,Sri Lanka
Colts Cricket Club Ground,Colombo,Sri Lanka
"Colts Cricket Club Ground, Colombo",Colombo,Sri Lanka
Colwyn Bay Cricket Club Ground,Colwyn Bay,Wales
Coolidge Cricket Ground,Coolidge,Antigua and Barbuda
"Coolidge Cricket Ground, Antigua",Coolidge,Antigua and Barbuda
County Ground,Bristol,England
County Ground,Chelmsford,England
County Ground,Derby,England
County Ground,Hove,England
County Ground,Northampton,England
County Ground,Taunton,England
"County Ground, Bristol",Bristol,England
"County Ground, Chelmsford",Chelmsford,England
"County Ground, Chelmsford",Chelmsford,England
"County Ground, Derby",Derby,England
"County Ground, Hove",Hove,England
"County Ground, New Road",Worcester,England
"County Ground, New Road, Worcester",Worcester,England
"County Ground, Northampton",Northampton,England
"County Ground, Taunton",Taunton,England
"Cricket Central, Sydney",Sydney,Australia
Cricket Field Lane,Bishop's Stortford,England
"Cricket Field Road Ground, Horsham",Horsham,England
"Cricket Stadium, Sector-16",Chandigarh,India
DRIEMS Ground,Cuttack,India
Daren Sammy National Cricket Stadium,Gros Islet,Saint Lucia
"Daren Sammy National Cricket Stadium, Gros Islet",Gros Islet,Saint Lucia
"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,Saint Lucia
"Daren Sammy National Cricket Stadium, St Lucia",Gros Islet,Saint Lucia
"Darren Sammy National Cricket Stadium, Gros Islet",Gros Islet,Saint Lucia
"Darren Sammy National Cricket Stadium, St Lucia",Gros Islet,Saint Lucia
"Davies Park, Queenstown",Queenstown,New Zealand
De Beers Diamond Oval,Kimberley,South Africa
"De Beers Diamond Oval, Kimberley",Kimberley,South Africa
"De Zoysa Stadium, Moratuwa",Moratuwa,Sri Lanka
Desert Springs Cricket Ground,Almeria,Spain
"Desert Springs Cricket Ground, Almeria",Almeria,Spain
Diamond Oval,Kimberley,South Africa
"Diamond Oval, Kimberley",Kimberley,South Africa
Docklands Stadium,Melbourne,Australia
"Docklands Stadium, Melbourne",Melbourne,Australia
Dower Park,Bendigo,Australia
Dr DY Patil Sports Academy,Mumbai,India
"Dr DY Patil Sports Academy, Mumbai",Mumbai,India
"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,India
"Dr DY Patil Sports Academy, Navi Mumbai",Navi Mumbai,India
Dr P.V.G. Raju ACA Sports Complex,Vizianagaram,India
"Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex -CP Ground,Mulapadu",Mulapadu,India
"Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex -DVR Ground,Mulapadu",Mulapadu,India
Dr. Y.S. Rajasekhara Reddy ACA VDCA Cricket Stadium,Visakhapatnam,India
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,India
Dreux Sport Cricket Club,Dreux,France
Drummoyne Oval,Sydney,Australia
"Drummoyne Oval, Sydney",Sydney,Australia
Dubai International Cricket Stadium,Dubai,United Arab Emirates
Dubai International Cricket Stadium,Dubai,United Arab Emirates
Dubai Sports City Cricket Stadium,Dubai,United Arab Emirates
Eastern Oval,Ballarat,Australia
"Eastern Oval, Ballarat",Ballarat,Australia
Eden Gardens,Kolkata,India
Eden Gardens,Kolkata,India
"Eden Gardens, Kolkata",Kolkata,India
Eden Park,Auckland,New Zealand
Eden Park,Auckland,New Zealand
Eden Park No 2,Auckland,New Zealand
"Eden Park No 2, Auckland",Auckland,New Zealand
Eden Park Outer Oval,Auckland,New Zealand
"Eden Park Outer Oval, Auckland",Auckland,New Zealand
"Eden Park, Auckland",Auckland,New Zealand
Edgbaston,Birmingham,England
"Edgbaston Foundation Community Sports Ground, Birmingham",Birmingham,England
"Edgbaston, Birmingham",Birmingham,England
"Ekeberg Cricket Ground 1, Oslo",Oslo,Norway
"Ekeberg Cricket Ground 2, Oslo",Oslo,Norway
Emerald Heights International School Ground,Indore,India
"Enborne Lodge, Newbury",Newbury,England
Entebbe Cricket Oval,Entebbe,Uganda
Entebbe Cricket Oval,Entebbe,Uganda
Estonian National Cricket and Rugby Field,Tallinn,Estonia
Europa Sports Complex,Gibraltar,Gibraltar
F B Colony Ground,Vadodara,India
FB Fields,St Clement,Jersey
"FB Fields, St Clement",St Clement,Jersey
"FP Fenner's Ground, Cambridge",Cambridge,England
FTZ Sports Complex (BOI),Katunayake,Sri Lanka
"FTZ Sports Complex (Board of Investment), Katunayake",Katunayake,Sri Lanka
Faleata Oval No 1,Apia,Samoa
Faleata Oval No 2,Apia,Samoa
"Faleata Oval No 2, Apia",Apia,Samoa
Faleata Oval No 3,Apia,Samoa
Farmers Cricket Club Ground,St Martin,Jersey
"Farmers Cricket Club Ground, St Martin",St Martin,Jersey
Feroz Shah Kotla,Delhi,India
Fitzherbert Park,Palmerston North,New Zealand
"Fitzherbert Park, Palmerston North",Palmerston North,New Zealand
Forthill,Dundee,Scotland
"Forthill, Dundee",Dundee,Scotland
Friendship Oval,Dasmarinas,Philippines
"GB Oval, Szodliget",Szodliget,Hungary
"GMHBA Stadium, South Geelong, Victoria",Geelong,Australia
"GSSS, Sector 26",Chandigarh,India
Gaddafi Stadium,Lahore,Pakistan
"Gaddafi Stadium, Lahore",Lahore,Pakistan
"Gahanga B Ground, Rwanda",Kigali City,Rwanda
"Gahanga International Cricket Stadium, Rwanda",Kigali City,Rwanda
Gahanga International Cricket Stadium. Rwanda,Kigali City,Rwanda
Gahanga International Cricket Stadium. Rwanda,Kigali,Rwanda
Galle International Stadium,Galle,Sri Lanka
Galle International Stadium,Galle,Sri Lanka
Garon Park,Southend-on-Sea,England
Geelong Cricket Ground,Geelong,Australia
Gelephu International Cricket Ground,Gelephu,Bhutan
Gliderol Stadium,Adelaide,Australia
"Gliderol Stadium, Adelaide",Adelaide,Australia
Gokaraju Liala Gangaaraju ACA Cricket Ground,Vijayawada,India
Goldenacre,Edinburgh,Scotland
"Goldenacre, Edinburgh",Edinburgh,Scotland
Goodyear Park,Bloemfontein,South Africa
"Goodyear Park, Bloemfontein",Bloemfontein,South Africa
"Gorse Lane, Grantham",Grantham,England
Grace Road,Leicester,England
"Grace Road, Leicester",Leicester,England
Grainville,St Saviour,Jersey
"Grainville, St Saviour",St Saviour,Jersey
"Grainville, St Saviour, Jersey",St Saviour,Jersey
Grand Prairie Stadium,Dallas,United States of America
Grand Prairie Stadium,Grand Prairie,United States of America
"Grand Prairie Stadium, Dallas",Dallas,United States of America
"Grange Cricket Club Ground, Raeburn Place",Edinburgh,Scotland
"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,Scotland
"Grange Cricket Club, Raeburn Place",Edinburgh,Scotland
"Great Barrier Reef Arena, Mackay",Mackay,Australia
Green Park,Kanpur,India
"Green Park, Kanpur",Kanpur,India
Greenfield International Stadium,Thiruvananthapuram,India
"Greenfield International Stadium, Thiruvananthapuram",Thiruvananthapuram,India
Greenfield Stadium,Thiruvananthapuram,India
"Ground 1, Independence Park",Port Vila,Vanuatu
"Ground 2, Independence Park",Port Vila,Vanuatu
Guanggong International Cricket Stadium,Guangzhou,China
Gucherre Cricket Ground,Albergaria,Portugal
"Guernsey Rovers Athletic Club Ground, Port Soif",Port  Soif,Guernsey
"Guildford Bason, Merrow Down",Guildford,England
