venue_id,canonical_venue,canonical_city,canonical_country
ven_000001,"7he Sevens Stadium, Dubai",Dubai,United Arab Emirates
ven_000002,"Abhimanyu Cricket Academy, Dehradun",Dehradun,India
ven_000003,Abu Dhabi Oval 1,Abu Dhabi,United Arab Emirates
ven_000004,Abu Dhabi Oval 2,Abu Dhabi,United Arab Emirates
ven_000005,"ACA Stadium, Barsapara",Barsapara,India
ven_000006,"ACA Stadium,Mangalagiri",Mangalagiri,India
ven_000007,"Achimota Senior Secondary School A Field, Accra",Accra,Ghana
ven_000008,"Achimota Senior Secondary School B Field, Accra",Accra,Ghana
ven_000009,Adelaide Oval,Adelaide,Australia
ven_000010,Adelaide Oval No. 2,Adelaide,Australia
ven_000011,Affies Park,Windhoek,Namibia
ven_000012,Aigburth,Liverpool,England
ven_000013,"Aigburth, Liverpool",Liverpool,England
ven_000014,"Airforce Complex ground, Palam",Delhi,India
ven_000015,"Airforce Complex ground, Palam II",Delhi,India
ven_000016,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman
ven_000017,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amerat,Oman
ven_000018,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Oman
ven_000019,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amerat,Oman
ven_000020,Al Dhaid Cricket Village,Al Dhaid,United Arab Emirates
ven_000021,Albert Park 1,Suva,Fiji
ven_000022,"Albert Park 1, Suva",Suva,Fiji
ven_000023,Albert Park 2,Suva,Fiji
ven_000024,"Albert Park 2, Suva",Suva,Fiji
ven_000025,Albertslund Cricket Club,Copenhagen,Denmark
ven_000026,Alembic 1 Cricket Ground,Vadodara,India
ven_000027,Alembic 2  Cricket Ground,Vadodara,India
ven_000028,Allan Border Field,Brisbane,Australia
ven_000029,"Allan Border Field, Brisbane",Brisbane,Australia
ven_000030,Alur Cricket Stadium,Alur,India
ven_000031,Alur Cricket Stadium II,Alur,India
ven_000032,Alur Cricket Stadium III,Alur,India
ven_000033,AMI Stadium,Christchurch,New Zealand
ven_000034,Amini Park,Port Moresby,Papua New Guinea
ven_000035,"Amini Park, Port Moresby",Port Moresby,Papua New Guinea
ven_000036,Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,Visakhapatnam,India
ven_000037,Antigua Recreation Ground,St John's,Antigua and Barbuda
ven_000038,"Antigua Recreation Ground, St John's",St John's,Antigua and Barbuda
ven_000039,"Antigua Recreation Ground, St John's, Antigua",St John's,Antigua and Barbuda
ven_000040,Arbab Niaz Stadium,Peshawar,Pakistan
ven_000041,"Army Ground, Panagoda",Panagoda,Sri Lanka
ven_000042,Arnos Vale Ground,Kingstown,Saint Vincent and the Grenadines
ven_000043,"Arnos Vale Ground, Kingstown",Kingstown,Saint Vincent and the Grenadines
ven_000044,"Arnos Vale Ground, Kingstown, St Vincent",Kingstown,Saint Vincent and the Grenadines
ven_000045,Arun Jaitley Stadium,Delhi,India
ven_000046,"Arun Jaitley Stadium, Delhi",Delhi,India
ven_000047,Arundel Castle Cricket Club Ground,Arundel,England
ven_000048,Asgiriya Stadium,Kandy,Sri Lanka
ven_000049,Ashlyns Road,Frinton-on-Sea,England
ven_000050,Asian Institute of Technology Ground,Bangkok,Thailand
ven_000051,"Asian Institute of Technology Ground, Bangkok",Bangkok,Thailand
ven_000052,Aurora Stadium,Launceston,Australia
ven_000053,"Aurora Stadium, Launceston",Launceston,Australia
ven_000054,"Ballpark Ground, Graz",Graz,Austria
ven_000055,Bangabandhu National Stadium,Dhaka,Bangladesh
ven_000056,"Bangabandhu National Stadium, Dhaka",Dhaka,Bangladesh
ven_000057,Bankstown Oval,Sydney,Australia
ven_000058,"Bankstown Oval, Sydney",Sydney,Australia
ven_000059,Barabati Stadium,Cuttack,India
ven_000060,"Barabati Stadium, Cuttack",Cuttack,India
ven_000061,Barsapara Cricket Stadium,Guwahati,India
ven_000062,"Barsapara Cricket Stadium, Guwahati",Guwahati,India
ven_000063,Basin Reserve,Wellington,New Zealand
ven_000064,"Basin Reserve, Wellington",Wellington,New Zealand
ven_000065,Bay Oval,Mount Maunganui,New Zealand
ven_000066,"Bay Oval, Mount Maunganui",Mount Maunganui,New Zealand
ven_000067,Bayer Uerdingen Cricket Ground,Krefeld,Germany
ven_000068,Bayuemas Oval,Kuala Lumpur,Malaysia
ven_000069,"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,Malaysia
ven_000070,"Beausejour Stadium, Gros Islet",Gros Islet,Saint Lucia
